response_option_left_location,accuracyCriterion,response_option_right_location,stimulus1_location,seconds,percentCorrect,end_message,image_stimulus1_location,stimulus_file,speed,accuracy_feedback_location,moving_response_options,rule_A,image_stimulus2_location,rule_B,press_message,intro_message,aim,response_option_B,response_option_A,latencyCriterion,stimulus2_location,n_pairs_test_blocks,max_pairs_practice_blocks,accuracy,trialType,stimulus1_category,stimulus2_category,task.thisRepN,task.thisTrialN,task.thisN,task.thisIndex,practice_blocks.thisRepN,practice_blocks.thisTrialN,practice_blocks.thisN,practice_blocks.thisIndex,practice_blocks.thisTrial,practice_Afirst.thisRepN,practice_Afirst.thisTrialN,practice_Afirst.thisN,practice_Afirst.thisIndex,practice_trials_Afirst.thisRepN,practice_trials_Afirst.thisTrialN,practice_trials_Afirst.thisN,practice_trials_Afirst.thisIndex,practice_trials_B.thisRepN,practice_trials_B.thisTrialN,practice_trials_B.thisN,practice_trials_B.thisIndex,practice_Asecond.thisRepN,practice_Asecond.thisTrialN,practice_Asecond.thisN,practice_Asecond.thisIndex,test_blocks.thisRepN,test_blocks.thisTrialN,test_blocks.thisN,test_blocks.thisIndex,Afirst.thisRepN,Afirst.thisTrialN,Afirst.thisN,Afirst.thisIndex,trials_Afirst.thisRepN,trials_Afirst.thisTrialN,trials_Afirst.thisN,trials_Afirst.thisIndex,trials_B.thisRepN,trials_B.thisTrialN,trials_B.thisN,trials_B.thisIndex,Asecond.thisRepN,Asecond.thisTrialN,Asecond.thisN,Asecond.thisIndex,labelA_stimuli_for_output,labelB_stimuli_for_output,targetA_stimuli_for_output,targetB_stimuli_for_output,labelA_image_stimuli_for_output,labelB_image_stimuli_for_output,targetA_image_stimuli_for_output,targetB_image_stimuli_for_output,stimulus1,stimulus2,img_stimulus1,img_stimulus2,response_option_left,response_option_right,required_response_A.keys,required_response_A.corr,required_response_A.rt,feedback_response_A.keys,feedback_response_A.corr,feedback_response_A.rt,required_response_B.keys,required_response_B.corr,required_response_B.rt,feedback_response_B.keys,feedback_response_B.corr,feedback_response_B.rt,participant,UseMonkey,gender,age,frameRate,expName,date,StartingBlock,
"[-0.3, -0.6]",0,"[0.3, -0.6]","[0, 0.2]",seconds,percent correct,End of task,"[0, 0.3]",stimuli.xlsx,Speed:,"[0, -0.7]",False,"Respond AS IF: 
    flowers are positive
    insects are negative

Go as quickly as you can while being accurate

Press 'e' or 'i' to continue","[0, -0.3]","Respond AS IF: 
    insects are positive 
    flowers are negative

Go as quickly as you can while being accurate

Press 'e' or 'i' to continue",Press 'e' or 'i' to continue,"This task will present you with pairs of words. 

You will be given rules on how to respond to them. 

Go as quickly as you can while being accurate.

Place your fingers on the 'e' and 'i' keys. 

Press either one to continue.",Aim for >80% and <2 seconds,Different,Similar,2,"[0, -0.2]",1,4,Accuracy:,4,b,d,0,0,0,0,0,0,0,0,None,0,0,0,0,0,0,0,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[u'daffodil', u'rose', u'lilly', u'daisy', u'daffodil', u'rose', u'lilly', u'daisy']","[u'spider', u'wasp', u'maggot', u'bee', u'spider', u'wasp', u'maggot', u'bee']","[u'happy', u'friendly', u'pretty', u'good', u'happy', u'friendly', u'pretty', u'good']","[u'pain', u'mean', u'hostile', u'hateful', u'pain', u'mean', u'hostile', u'hateful']","[u'blank.png', u'blank.png', u'blank.png', u'blank.png', u'blank.png', u'blank.png', u'blank.png', u'blank.png']","[u'blank.png', u'blank.png', u'blank.png', u'blank.png', u'blank.png', u'blank.png', u'blank.png', u'blank.png']","[u'blank.png', u'blank.png', u'blank.png', u'blank.png', u'blank.png', u'blank.png', u'blank.png', u'blank.png']","[u'blank.png', u'blank.png', u'blank.png', u'blank.png', u'blank.png', u'blank.png', u'blank.png', u'blank.png']",wasp,hateful,blank.png,blank.png,Different,Similar,i,1,0.101692914963,e,1,0.10135102272,,,,,,,2,y,,,59.6075622501,IRAP,2016_Aug_10_2356,a,
"[-0.3, -0.6]",0,"[0.3, -0.6]","[0, 0.2]",seconds,percent correct,End of task,"[0, 0.3]",stimuli.xlsx,Speed:,"[0, -0.7]",False,"Respond AS IF: 
    flowers are positive
    insects are negative

Go as quickly as you can while being accurate

Press 'e' or 'i' to continue","[0, -0.3]","Respond AS IF: 
    insects are positive 
    flowers are negative

Go as quickly as you can while being accurate

Press 'e' or 'i' to continue",Press 'e' or 'i' to continue,"This task will present you with pairs of words. 

You will be given rules on how to respond to them. 

Go as quickly as you can while being accurate.

Place your fingers on the 'e' and 'i' keys. 

Press either one to continue.",Aim for >80% and <2 seconds,Different,Similar,2,"[0, -0.2]",1,4,Accuracy:,1,a,c,0,0,0,0,0,0,0,0,None,0,0,0,0,0,1,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,daffodil,friendly,blank.png,blank.png,Different,Similar,i,1,0.102093219757,e,1,0.101950883865,,,,,,,2,y,,,59.6075622501,IRAP,2016_Aug_10_2356,a,
"[-0.3, -0.6]",0,"[0.3, -0.6]","[0, 0.2]",seconds,percent correct,End of task,"[0, 0.3]",stimuli.xlsx,Speed:,"[0, -0.7]",False,"Respond AS IF: 
    flowers are positive
    insects are negative

Go as quickly as you can while being accurate

Press 'e' or 'i' to continue","[0, -0.3]","Respond AS IF: 
    insects are positive 
    flowers are negative

Go as quickly as you can while being accurate

Press 'e' or 'i' to continue",Press 'e' or 'i' to continue,"This task will present you with pairs of words. 

You will be given rules on how to respond to them. 

Go as quickly as you can while being accurate.

Place your fingers on the 'e' and 'i' keys. 

Press either one to continue.",Aim for >80% and <2 seconds,Different,Similar,2,"[0, -0.2]",1,4,Accuracy:,2,a,d,0,0,0,0,0,0,0,0,None,0,0,0,0,0,2,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,daisy,pain,blank.png,blank.png,Different,Similar,e,1,0.101979017258,i,1,0.101891040802,,,,,,,2,y,,,59.6075622501,IRAP,2016_Aug_10_2356,a,
"[-0.3, -0.6]",0,"[0.3, -0.6]","[0, 0.2]",seconds,percent correct,End of task,"[0, 0.3]",stimuli.xlsx,Speed:,"[0, -0.7]",False,"Respond AS IF: 
    flowers are positive
    insects are negative

Go as quickly as you can while being accurate

Press 'e' or 'i' to continue","[0, -0.3]","Respond AS IF: 
    insects are positive 
    flowers are negative

Go as quickly as you can while being accurate

Press 'e' or 'i' to continue",Press 'e' or 'i' to continue,"This task will present you with pairs of words. 

You will be given rules on how to respond to them. 

Go as quickly as you can while being accurate.

Place your fingers on the 'e' and 'i' keys. 

Press either one to continue.",Aim for >80% and <2 seconds,Different,Similar,2,"[0, -0.2]",1,4,Accuracy:,3,b,c,0,0,0,0,0,0,0,0,None,0,0,0,0,0,3,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,spider,pretty,blank.png,blank.png,Different,Similar,e,1,0.102444887161,i,1,0.102348089218,,,,,,,2,y,,,59.6075622501,IRAP,2016_Aug_10_2356,a,
"[-0.3, -0.6]",0,"[0.3, -0.6]","[0, 0.2]",seconds,percent correct,End of task,"[0, 0.3]",stimuli.xlsx,Speed:,"[0, -0.7]",False,"Respond AS IF: 
    flowers are positive
    insects are negative

Go as quickly as you can while being accurate

Press 'e' or 'i' to continue","[0, -0.3]","Respond AS IF: 
    insects are positive 
    flowers are negative

Go as quickly as you can while being accurate

Press 'e' or 'i' to continue",Press 'e' or 'i' to continue,"This task will present you with pairs of words. 

You will be given rules on how to respond to them. 

Go as quickly as you can while being accurate.

Place your fingers on the 'e' and 'i' keys. 

Press either one to continue.",Aim for >80% and <2 seconds,Different,Similar,2,"[0, -0.2]",1,4,Accuracy:,4,b,d,0,0,0,0,0,0,0,0,None,0,0,0,0,1,0,4,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,wasp,mean,blank.png,blank.png,Different,Similar,i,1,0.101411104202,e,1,0.101243019104,,,,,,,2,y,,,59.6075622501,IRAP,2016_Aug_10_2356,a,
"[-0.3, -0.6]",0,"[0.3, -0.6]","[0, 0.2]",seconds,percent correct,End of task,"[0, 0.3]",stimuli.xlsx,Speed:,"[0, -0.7]",False,"Respond AS IF: 
    flowers are positive
    insects are negative

Go as quickly as you can while being accurate

Press 'e' or 'i' to continue","[0, -0.3]","Respond AS IF: 
    insects are positive 
    flowers are negative

Go as quickly as you can while being accurate

Press 'e' or 'i' to continue",Press 'e' or 'i' to continue,"This task will present you with pairs of words. 

You will be given rules on how to respond to them. 

Go as quickly as you can while being accurate.

Place your fingers on the 'e' and 'i' keys. 

Press either one to continue.",Aim for >80% and <2 seconds,Different,Similar,2,"[0, -0.2]",1,4,Accuracy:,3,b,c,0,0,0,0,0,0,0,0,None,0,0,0,0,1,1,5,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,bee,good,blank.png,blank.png,Different,Similar,e,1,0.101593017578,i,1,0.101344823837,,,,,,,2,y,,,59.6075622501,IRAP,2016_Aug_10_2356,a,
"[-0.3, -0.6]",0,"[0.3, -0.6]","[0, 0.2]",seconds,percent correct,End of task,"[0, 0.3]",stimuli.xlsx,Speed:,"[0, -0.7]",False,"Respond AS IF: 
    flowers are positive
    insects are negative

Go as quickly as you can while being accurate

Press 'e' or 'i' to continue","[0, -0.3]","Respond AS IF: 
    insects are positive 
    flowers are negative

Go as quickly as you can while being accurate

Press 'e' or 'i' to continue",Press 'e' or 'i' to continue,"This task will present you with pairs of words. 

You will be given rules on how to respond to them. 

Go as quickly as you can while being accurate.

Place your fingers on the 'e' and 'i' keys. 

Press either one to continue.",Aim for >80% and <2 seconds,Different,Similar,2,"[0, -0.2]",1,4,Accuracy:,2,a,d,0,0,0,0,0,0,0,0,None,0,0,0,0,1,2,6,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,rose,pain,blank.png,blank.png,Different,Similar,e,1,0.101584911346,i,1,0.101284980774,,,,,,,2,y,,,59.6075622501,IRAP,2016_Aug_10_2356,a,
"[-0.3, -0.6]",0,"[0.3, -0.6]","[0, 0.2]",seconds,percent correct,End of task,"[0, 0.3]",stimuli.xlsx,Speed:,"[0, -0.7]",False,"Respond AS IF: 
    flowers are positive
    insects are negative

Go as quickly as you can while being accurate

Press 'e' or 'i' to continue","[0, -0.3]","Respond AS IF: 
    insects are positive 
    flowers are negative

Go as quickly as you can while being accurate

Press 'e' or 'i' to continue",Press 'e' or 'i' to continue,"This task will present you with pairs of words. 

You will be given rules on how to respond to them. 

Go as quickly as you can while being accurate.

Place your fingers on the 'e' and 'i' keys. 

Press either one to continue.",Aim for >80% and <2 seconds,Different,Similar,2,"[0, -0.2]",1,4,Accuracy:,1,a,c,0,0,0,0,0,0,0,0,None,0,0,0,0,1,3,7,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,daisy,pretty,blank.png,blank.png,Different,Similar,i,1,0.102076053619,e,1,0.101935148239,,,,,,,2,y,,,59.6075622501,IRAP,2016_Aug_10_2356,a,
"[-0.3, -0.6]",0,"[0.3, -0.6]","[0, 0.2]",seconds,percent correct,End of task,"[0, 0.3]",stimuli.xlsx,Speed:,"[0, -0.7]",False,"Respond AS IF: 
    flowers are positive
    insects are negative

Go as quickly as you can while being accurate

Press 'e' or 'i' to continue","[0, -0.3]","Respond AS IF: 
    insects are positive 
    flowers are negative

Go as quickly as you can while being accurate

Press 'e' or 'i' to continue",Press 'e' or 'i' to continue,"This task will present you with pairs of words. 

You will be given rules on how to respond to them. 

Go as quickly as you can while being accurate.

Place your fingers on the 'e' and 'i' keys. 

Press either one to continue.",Aim for >80% and <2 seconds,Different,Similar,2,"[0, -0.2]",1,4,Accuracy:,3,b,c,0,0,0,0,0,0,0,0,None,0,0,0,0,2,0,8,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,bee,friendly,blank.png,blank.png,Different,Similar,e,1,0.101930856705,i,1,0.101733922958,,,,,,,2,y,,,59.6075622501,IRAP,2016_Aug_10_2356,a,
"[-0.3, -0.6]",0,"[0.3, -0.6]","[0, 0.2]",seconds,percent correct,End of task,"[0, 0.3]",stimuli.xlsx,Speed:,"[0, -0.7]",False,"Respond AS IF: 
    flowers are positive
    insects are negative

Go as quickly as you can while being accurate

Press 'e' or 'i' to continue","[0, -0.3]","Respond AS IF: 
    insects are positive 
    flowers are negative

Go as quickly as you can while being accurate

Press 'e' or 'i' to continue",Press 'e' or 'i' to continue,"This task will present you with pairs of words. 

You will be given rules on how to respond to them. 

Go as quickly as you can while being accurate.

Place your fingers on the 'e' and 'i' keys. 

Press either one to continue.",Aim for >80% and <2 seconds,Different,Similar,2,"[0, -0.2]",1,4,Accuracy:,2,a,d,0,0,0,0,0,0,0,0,None,0,0,0,0,2,1,9,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,lilly,hateful,blank.png,blank.png,Different,Similar,e,1,0.102317094803,i,1,0.102061033249,,,,,,,2,y,,,59.6075622501,IRAP,2016_Aug_10_2356,a,
